status,name,instructions,instructions Δ,instructions Δ%,heap_increase,heap_increase Δ,heap_increase Δ%,stable_memory_increase,stable_memory_increase Δ,stable_memory_increase Δ%
,btreemap_remove_blob_64_1024::node_load_v1,490372664,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_64_1024::node_save_v1,373849439,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_64_1024_v2,1416837129,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_64_1024_v2::node_load_v2,579028104,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_64_1024_v2::node_save_v2,429459920,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_8_1024,758467914,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_8_1024::node_load_v1,173147291,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_8_1024::node_save_v1,296070233,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_8_1024_v2,885217985,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_8_1024_v2::node_load_v2,258240348,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_8_1024_v2::node_save_v2,338728875,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_8_u64,537369405,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_8_u64::node_load_v1,175908392,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_8_u64::node_save_v1,162275185,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_8_u64_v2,684447855,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_8_u64_v2::node_load_v2,265847602,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_8_u64_v2::node_save_v2,213557869,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_u64_blob_8,592711411,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_u64_blob_8::node_load_v1,155452951,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_u64_blob_8::node_save_v1,239159663,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_u64_blob_8_v2,703022401,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_u64_blob_8_v2::node_load_v2,228119257,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_u64_blob_8_v2::node_save_v2,276694546,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_u64_u64,606967612,0,0.00%,0,0,0.00%,0,0,0.00%
